X1,X2,classes
4.693820,5.571865,2
4.868019,4.975565,2
6.878583,5.131446,3
6.440613,4.880167,3
4.854637,4.658956,2
4.830608,5.024391,2
7.145088,5.748005,3
5.422102,4.582017,2
5.874034,4.931056,3
6.246460,4.739041,3
4.116957,3.725708,1
6.814901,5.091317,3
6.953756,5.706763,3
3.909447,3.993486,1
4.927580,5.116822,2
7.543468,5.430359,3
4.280909,4.293103,1
4.279040,5.521187,2
4.845581,5.177017,2
4.601393,5.037629,2
7.068517,5.644673,3
3.829721,4.054657,1
5.304020,4.810982,2
7.073118,5.596795,3
4.356081,4.209733,1
6.755606,5.482437,3
5.167629,4.499224,2
4.785067,5.346990,2
4.890654,5.260556,2
7.035906,5.477614,3
4.786395,5.368621,2
5.971643,3.957416,2
5.119650,5.066949,2
5.694849,4.298439,2
6.877163,5.148372,3
3.935307,3.835430,1
4.655764,5.441896,2
3.578559,3.286858,1
4.918832,4.846809,2
3.523970,3.482348,1
5.329249,5.059288,2
4.333903,5.828716,2
7.436679,6.161339,3
4.905974,5.100263,2
5.010824,5.302919,2
4.636007,5.370223,2
5.376974,4.509889,2
3.422210,3.475432,1
6.752572,4.955846,3
5.257775,5.185719,2
5.866750,4.740883,2
4.708137,5.035899,2
7.233926,5.317791,3
6.245768,4.985093,3
5.660888,4.427483,2
6.126235,5.025738,3
6.322877,4.932342,3
6.664758,5.338747,3
6.234982,4.945792,3
6.383851,4.817594,3
3.474787,3.406962,1
4.538664,4.597356,1
6.616406,4.841743,3
4.453559,4.097216,1
4.570539,4.447787,1
6.685745,5.043665,3
5.743078,4.108777,2
4.598630,6.098931,2
3.630111,4.227146,1
3.695069,3.972872,1
4.884400,5.259848,2
3.490101,3.503114,1
6.108991,4.423375,3
4.042555,4.047624,1
3.162659,3.299294,1
5.169487,4.954228,2
4.429477,5.703028,2
5.407093,4.121851,2
6.617137,5.399806,3
4.313485,4.014060,1
6.662883,4.797216,3
5.994680,4.647955,3
6.999668,5.430374,3
4.508107,4.316949,1
4.980724,4.501099,2
3.805132,3.879041,1
5.383154,4.316407,2
5.187969,5.384598,2
4.242325,5.419581,2
4.828853,5.569824,2
6.355163,4.730065,3
4.798930,4.494978,1
6.233116,4.945484,3
3.788759,5.704413,2
6.040640,4.858011,2
3.471135,3.488321,1
5.038903,4.864559,2
4.371788,5.433385,2
5.006061,5.457820,2
5.256874,4.605578,2
4.982985,5.199924,2
4.980717,4.872057,2
3.682764,6.163881,2
4.616941,4.404767,1
6.986721,5.274656,3
4.666657,4.960452,2
5.090238,4.834581,2
4.592871,5.686166,2
6.446292,4.407549,3
3.709938,3.601456,1
5.449566,5.142118,2
5.825929,4.049715,2
6.684736,4.951374,3
3.338886,3.345924,1
4.865657,4.650777,1
3.778534,3.704912,1
3.518997,3.862723,1
7.363675,5.845562,3
4.833247,5.432228,2
