Sale_Price,Gr_Liv_Area,Year_Built,Total_Bsmt_SF,Garage_Area,Lot_Area,Overall_Qual,Overall_Cond,Central_Air,Full_Bath,Bedroom_AbvGr
215000,1656,1960,1080,528,31770,Above_Average,Average,1,1,3
105000,896,1961,882,730,11622,Average,Above_Average,1,1,2
172000,1329,1958,1329,312,14267,Above_Average,Above_Average,1,1,3
244000,2110,1968,2110,522,11160,Good,Average,1,2,3
189900,1629,1997,928,482,13830,Average,Average,1,2,3
195500,1604,1998,926,470,9978,Above_Average,Above_Average,1,2,3
213500,1338,2001,1338,582,4920,Very_Good,Average,1,2,2
191500,1280,1992,1280,506,5005,Very_Good,Average,1,2,2
236500,1616,1995,1595,608,5389,Very_Good,Average,1,2,2
189000,1804,1999,994,442,7500,Good,Average,1,2,3
175900,1655,1993,763,440,10000,Above_Average,Average,1,2,3
185000,1187,1992,1168,420,7980,Above_Average,Good,1,2,3
180400,1465,1998,789,393,8402,Above_Average,Average,1,2,3
171500,1341,1990,1300,506,10176,Good,Average,1,1,2
212000,1502,1985,1488,528,6820,Very_Good,Average,1,1,1
538000,3279,2003,1650,841,53504,Very_Good,Average,1,3,4
164000,1752,1988,559,492,12134,Very_Good,Good,1,2,4
394432,1856,2010,1856,834,11394,Excellent,Poor,1,1,1
141000,864,1951,864,400,19138,Below_Average,Average,1,1,2
210000,2073,1978,1542,500,13175,Above_Average,Above_Average,1,2,3
190000,1844,1977,1844,546,11751,Above_Average,Above_Average,1,2,3
170000,1173,1974,1053,528,10625,Good,Above_Average,1,2,3
216000,1674,2000,814,663,7500,Good,Average,1,2,3
149000,1004,1970,1004,480,11241,Above_Average,Good,1,1,2
149900,1078,1971,1078,500,12537,Average,Above_Average,1,1,3
142000,1056,1968,1056,304,8450,Average,Above_Average,1,1,3
126000,882,1970,882,525,8400,Below_Average,Average,1,1,2
115000,864,1971,864,0,10500,Below_Average,Average,1,1,3
184000,1337,1999,1405,511,5858,Good,Average,1,2,2
96000,987,1971,483,264,1680,Above_Average,Average,1,1,2
105500,1092,1971,525,320,1680,Average,Average,1,1,3
88000,1092,1971,525,264,1680,Above_Average,Average,1,1,3
127500,1069,1977,1069,440,4043,Above_Average,Average,1,2,2
149900,1456,1975,855,440,2280,Above_Average,Above_Average,1,2,3
120000,836,1975,836,308,2280,Good,Above_Average,1,1,2
146000,1456,1978,855,440,2280,Above_Average,Average,1,2,3
376162,2334,2009,1590,751,12858,Excellent,Average,1,2,3
306000,1704,2007,1704,772,11478,Very_Good,Average,1,2,3
395192,1940,2009,1930,606,10159,Excellent,Average,1,2,3
290941,1544,2009,1544,868,12883,Very_Good,Average,1,2,3
220000,1541,2005,1541,532,12182,Good,Average,1,2,3
275000,1698,2005,1698,730,11520,Excellent,Average,1,2,3
259000,1822,2005,1822,678,14122,Very_Good,Average,1,2,3
214000,1535,2004,1517,532,10171,Good,Average,1,2,3
611657,2364,2009,2330,820,12919,Excellent,Average,1,2,2
224000,1358,2009,1358,484,6371,Good,Average,1,2,2
500000,2696,2003,2846,958,14300,Excellent,Average,1,2,3
320000,2250,2002,1671,756,13650,Very_Good,Average,1,2,3
319900,1752,2005,1752,576,7658,Excellent,Average,1,2,2
205000,1370,2006,1370,484,7132,Very_Good,Average,1,2,2
175500,1626,2003,764,474,2628,Good,Average,1,2,2
199500,1324,2005,1324,430,18494,Above_Average,Average,1,2,3
160000,1145,2006,1145,437,3203,Good,Average,1,2,2
192000,1269,2004,1256,430,3182,Very_Good,Average,1,2,2
184500,1374,2004,384,400,13300,Good,Average,1,2,3
216500,1960,2002,860,440,7851,Above_Average,Average,1,2,4
185088,1733,2004,847,433,8577,Good,Average,1,2,3
180000,1430,2000,384,400,7750,Good,Average,1,2,3
222500,2035,2001,884,434,9505,Good,Average,1,2,3
333168,2599,1999,1393,779,14774,Excellent,Average,1,2,4
355000,2475,1998,1629,962,17433,Very_Good,Average,1,2,4
260400,1720,1996,1720,527,10593,Good,Average,1,2,3
325000,2622,1994,1463,712,12256,Very_Good,Average,1,2,3
290000,2270,1999,1152,671,11764,Very_Good,Good,1,2,4
221000,1839,1998,1195,486,16770,Good,Average,1,2,4
410000,3238,1995,2033,666,14720,Very_Good,Average,1,2,4
221500,1595,2005,1595,880,8987,Very_Good,Average,1,2,2
204500,1218,2009,1218,676,9215,Good,Average,1,2,2
215200,1547,2009,756,614,8640,Good,Average,1,2,3
262500,1566,2008,1566,750,9000,Very_Good,Average,1,2,3
254900,1947,2004,991,678,12552,Good,Average,1,2,3
271500,1468,2005,1468,528,10440,Above_Average,Average,1,2,2
233000,2084,2004,956,618,10142,Good,Average,1,2,4
181000,1659,2004,831,484,11920,Good,Average,1,2,3
205000,2110,1994,948,463,8880,Good,Average,1,2,3
143000,923,1980,923,264,8012,Above_Average,Average,1,2,2
189000,1845,1992,1055,462,11218,Above_Average,Average,1,2,3
99500,918,1979,918,264,7892,Above_Average,Average,1,2,2
125000,752,1984,744,264,7175,Above_Average,Average,1,1,2
194500,1744,1993,996,457,9453,Good,Good,1,2,3
152000,1097,1984,1040,480,9672,Above_Average,Average,1,2,3
171000,1564,1980,650,476,8400,Above_Average,Above_Average,1,2,3
67500,1012,1920,816,429,9800,Average,Average,0,1,2
112000,1902,1978,0,539,8930,Above_Average,Average,1,2,4
148000,1155,1961,1109,576,11782,Average,Good,1,1,3
138500,894,1965,894,336,8450,Average,Very_Good,1,1,3
122000,900,1967,882,280,9819,Average,Average,1,1,3
133000,1040,1963,1040,308,7500,Average,Average,1,1,3
127000,1040,1962,1040,260,6897,Average,Very_Good,1,1,3
169000,1494,1974,1208,461,15410,Above_Average,Above_Average,1,2,3
190000,1923,1992,750,564,10186,Good,Average,1,2,3
362500,2349,1993,1231,762,13143,Very_Good,Average,1,2,4
285000,2225,1992,1390,713,11134,Very_Good,Average,1,2,4
260000,1488,2004,1488,506,4835,Good,Average,1,2,2
190000,1680,2004,840,588,3515,Good,Average,1,2,2
155000,1200,2004,600,480,3215,Good,Average,1,2,2
151000,1200,2004,600,480,3182,Good,Average,1,2,2
149500,1200,2004,600,480,2544,Good,Average,1,2,2
152000,1236,2005,600,480,2544,Above_Average,Average,1,2,2
222000,1478,2009,1470,484,4403,Good,Average,1,2,2
177500,1573,2000,756,440,2117,Above_Average,Average,1,2,3
177000,1512,2000,756,440,2980,Above_Average,Average,1,2,2
155000,1416,1999,696,484,2572,Good,Average,1,2,3
147110,1080,2003,530,496,2403,Good,Average,1,2,2
267916,1418,2010,1642,852,12853,Very_Good,Average,1,1,1
254000,1848,2000,975,592,7379,Very_Good,Average,1,2,3
155000,788,1980,728,484,4420,Very_Good,Average,1,1,1
206000,1226,1978,1226,484,3880,Very_Good,Above_Average,1,1,1
130500,1479,1976,725,475,13517,Above_Average,Very_Good,1,2,3
230000,1492,2002,1492,596,8000,Good,Average,1,2,3
218500,1829,1967,1829,535,10456,Above_Average,Above_Average,1,2,4
243500,2495,1993,1280,660,10791,Above_Average,Average,1,2,4
205000,1610,1977,1610,480,10603,Above_Average,Good,1,2,3
212500,1891,1978,1224,678,18837,Above_Average,Average,1,3,3
196500,1714,1988,980,496,10421,Good,Average,1,2,3
197500,1381,1972,1161,676,9360,Above_Average,Good,1,1,3
171000,1645,1971,715,441,9600,Above_Average,Above_Average,1,1,4
142250,1232,1966,1232,490,9600,Average,Average,1,1,3
143000,1328,1963,1328,528,9790,Above_Average,Average,1,1,3
128950,1225,1959,950,0,9320,Below_Average,Average,1,1,3
159000,1209,1966,1209,504,9900,Average,Average,1,1,3
178900,1510,1967,1510,517,9680,Average,Above_Average,1,2,3
136300,1775,1964,533,480,10600,Above_Average,Average,1,2,3
180500,1152,1964,1152,484,14112,Average,Good,1,1,3
137500,1054,1963,936,480,8800,Above_Average,Good,1,1,3
84900,1728,1962,1728,0,13260,Average,Above_Average,1,2,6
142125,1078,1950,1078,240,9717,Average,Above_Average,1,1,2
197600,2461,1952,1140,400,9724,Average,Good,1,2,3
172500,1556,1949,782,470,17360,Above_Average,Above_Average,1,2,3
116500,858,1958,858,0,7207,Average,Good,1,1,2
76500,1306,1940,728,0,5350,Fair,Poor,1,1,3
128000,1063,1954,1056,280,9920,Average,Average,1,1,3
153000,1520,1955,1156,364,9600,Above_Average,Above_Average,1,1,3
132000,1268,1954,1268,244,7800,Average,Above_Average,1,1,2
178000,1128,1966,1080,315,11380,Above_Average,Very_Good,1,1,2
154300,2274,1960,1105,480,11600,Average,Average,1,2,5
180000,2207,1970,1947,576,19900,Good,Average,1,2,3
190000,1888,1966,1517,578,16492,Above_Average,Above_Average,1,2,2
135000,1604,1958,1604,576,8267,Average,Average,1,2,4
214000,1480,2003,1480,620,8197,Good,Average,1,2,3
136000,1143,1959,1143,308,8050,Average,Average,1,1,3
165500,1700,1959,1398,447,10552,Average,Average,1,1,4
145000,1314,1957,1314,294,8400,Average,Above_Average,1,1,3
148000,1194,1959,1194,312,8760,Above_Average,Above_Average,1,1,3
142000,1188,1959,1188,531,12160,Average,Average,1,1,3
167500,1264,1960,1268,461,9300,Average,Average,1,1,3
108538,1206,1959,1206,312,10725,Average,Average,1,1,3
159500,1580,1959,1244,440,10032,Above_Average,Average,1,1,3
108000,1337,1956,832,263,8382,Below_Average,Average,1,1,3
135000,1064,1952,864,318,10950,Average,Good,1,1,2
122500,972,1955,972,305,10895,Average,Above_Average,1,1,3
119000,988,1958,988,264,13587,Average,Average,1,1,2
109000,1057,1953,1057,246,7922,Average,Good,1,1,3
105000,985,1920,576,676,7898,Below_Average,Good,1,1,2
107500,827,1955,0,392,7200,Average,Good,1,1,2
144900,1086,1954,1086,490,10200,Average,Good,1,1,3
129000,936,1956,936,308,5868,Average,Good,1,1,2
97500,1458,1948,912,330,17503,Above_Average,Average,1,1,3
144000,1056,1980,1056,576,6979,Above_Average,Average,1,0,0
162000,1287,1959,1063,576,9830,Average,Good,1,1,3
242000,2978,1967,710,564,11275,Good,Good,1,2,5
132000,1224,1948,816,280,8064,Above_Average,Very_Good,1,1,3
154000,1246,1959,1246,305,7500,Average,Good,1,1,3
166000,1385,1952,910,720,8520,Average,Below_Average,1,2,4
134800,900,1951,900,576,7200,Average,Good,1,1,3
160000,1116,1962,1116,440,10000,Above_Average,Above_Average,1,1,3
148000,1175,1960,1175,484,7635,Average,Above_Average,1,1,3
192000,1395,1963,1395,440,9760,Above_Average,Good,1,1,2
155000,1839,1966,756,442,7700,Above_Average,Average,1,1,4
80400,1844,1900,709,240,4800,Below_Average,Average,1,1,3
96500,1140,1910,576,0,8800,Below_Average,Good,1,1,3
109500,936,1920,936,0,4485,Average,Good,1,1,2
115000,1028,1927,1008,360,8960,Average,Above_Average,1,1,2
143000,1347,1957,1347,551,5805,Average,Good,1,1,3
107400,1605,1915,840,379,5790,Fair,Above_Average,0,2,3
80000,747,1945,747,220,4608,Below_Average,Above_Average,1,1,2
119000,804,1940,788,240,7200,Average,Good,1,1,2
130000,1316,1929,926,484,5500,Average,Good,1,1,3
119000,1251,1938,827,240,6900,Above_Average,Good,1,1,3
129000,1633,1948,1027,240,11851,Average,Good,1,1,3
100000,1245,1920,1008,315,8239,Average,Above_Average,1,1,3
12789,832,1923,678,780,9656,Poor,Poor,0,1,2
105900,720,1928,624,484,8520,Above_Average,Very_Good,1,1,2
150000,1566,1900,930,288,9600,Very_Good,Excellent,0,2,3
